px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS	sensor
96.3268	19.2063	0.835647	-0.448164	-0.0150026	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0.568933	R
97.438	18.7396	1.22649	-0.368498	0.0372426	97.5286	18.727	97.45	18.506	0.868716	-0.503009	2.09474	L
97.4198	18.7315	1.1722	-0.408237	0.00703609	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	0.209518	R
98.2511	18.3625	0.984506	-0.397593	0.00555169	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0.449883	L
98.2639	18.3651	0.971981	-0.397744	0.000707507	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0.1959	R
99.0556	17.4445	1.1095	-0.933763	-0.273035	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	2.54939	L
99.0743	17.4849	1.17483	-0.798881	-0.152898	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	1.51688	R
99.9651	16.9437	1.06678	-0.6199	0.0172972	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	1.04233	L
100.046	16.9587	1.1111	-0.553262	0.0544166	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	2.03211	R
101.161	16.5217	1.21793	-0.311771	0.15252	101.204	16.5368	101.065	16.497	0.991362	-0.513687	0.551039	L
101.141	16.5218	1.15184	-0.336657	0.128719	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0.222598	R
102.352	16.3782	1.24852	-0.0202187	0.225937	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0.469775	L
102.274	16.3694	1.11867	-0.055244	0.201841	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	1.437	R
103.075	15.4799	0.851533	-0.721001	-0.23969	103.003	15.353	103.119	15.4967	1.11708	-0.508169	7.02142	L
103.052	15.5174	0.950689	-0.621743	-0.144567	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	3.26472	R
104.041	15.2184	1.03404	-0.325878	0.0863347	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	2.00923	L
104.038	15.2096	1.12044	-0.307104	0.105008	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	0.971385	R
105.452	14.496	1.59265	-0.48965	-0.0408885	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	3.08407	L
105.412	14.4847	1.54358	-0.520048	-0.062199	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	0.423272	R
106.81	14.021	1.51401	-0.318298	0.0767663	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	0.582099	L
106.762	14.0116	1.50391	-0.336043	0.0707377	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	1.12257	R
108.095	13.6515	1.43811	-0.219604	0.0959937	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0.0651339	L
108.116	13.6538	1.5006	-0.203967	0.111663	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0.164169	R
109.536	13.5589	1.47694	0.00170809	0.163289	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0.0784374	L
109.506	13.5535	1.45977	-0.00536605	0.159897	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	0.373828	R
111.046	12.6795	1.53428	-0.594534	-0.249717	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	4.79284	L
111.142	12.7312	1.72604	-0.50568	-0.162515	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	2.72736	R
112.864	12.4333	1.70798	-0.166776	0.122213	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	2.5044	L
112.873	12.4303	1.75778	-0.159361	0.129331	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	0.140637	R
114.758	12.528	1.90827	0.164284	0.238535	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	0.752567	L
114.771	12.5332	1.89031	0.170124	0.241705	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0.235447	R
116.684	12.1715	1.82232	-0.156377	-0.0824235	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	2.89775	L
116.74	12.1961	1.98189	-0.133503	-0.0536316	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	1.03319	R
118.895	11.9942	2.21569	-0.0971993	0.0053785	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	0.85009	L
118.892	11.9942	2.20372	-0.0985378	0.00386523	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	0.0189997	R
120.754	12.261	1.91731	0.155816	0.149765	120.695	12.2918	120.743	12.3289	2.21139	0.128528	1.54623	L
120.805	12.2592	2.03671	0.155077	0.147568	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0.621945	R
123.414	12.8016	2.69122	0.271785	0.118507	123.568	12.8297	122.95	12.5114	2.29835	0.246599	5.90608	L
123.341	12.8013	2.54208	0.291215	0.137465	123.142	12.7694	122.95	12.5114	2.29835	0.246599	1.16951	R
125.06	12.8568	1.74783	0.15475	-0.0119351	124.894	12.7743	125.242	12.8125	2.37624	0.369827	8.82811	L
125.186	12.8871	2.11331	0.144229	-0.0192805	125.376	12.9964	125.242	12.8125	2.37624	0.369827	5.0216	R
127.736	13.3056	2.61326	0.163369	0.00754659	127.853	13.3273	127.609	13.2365	2.44434	0.495787	3.41968	L
127.694	13.3013	2.57062	0.164499	0.0081364	127.506	13.153	127.609	13.2365	2.44434	0.495787	0.553438	R
129.985	13.7018	2.41263	0.17675	0.0112776	129.947	13.6963	130.042	13.7853	2.50232	0.621879	0.343558	L
130.04	13.7074	2.4503	0.175711	0.0109789	130.334	13.781	130.042	13.7853	2.50232	0.621879	1.18596	R
132.137	14.4906	2.27942	0.387221	0.136746	132.092	14.507	132.53	14.458	2.55028	0.74543	0.864707	L
132.223	14.4857	2.47191	0.357783	0.102489	132.447	14.3423	132.53	14.458	2.55028	0.74543	1.74582	R
134.977	15.0506	2.81253	0.161473	-0.0903615	135.074	15.0475	135.066	15.2513	2.58865	0.863795	2.81413	L
134.975	15.0439	2.73805	0.160132	-0.0908187	135.127	14.6575	135.066	15.2513	2.58865	0.863795	0.44816	R
137.558	16.1733	2.78611	0.456138	0.149599	137.561	16.2147	137.639	16.1592	2.61821	0.974442	1.58128	L
